
delegado 1;47620091599;0.0
delegado 0;47713456001;0.0
delegado 2;1890365801;1.4
delegado 3;2124645500;1.4
delegado 4;2040494200;3.9
delegado 5;2264640699;2.4
delegado 6;1662241699;4.0
delegado 7;1769653500;2.5
delegado 8;1952206299;4.5
delegado 9;1970504999;1.7
delegado 10;1861718400;5.0
delegado 11;1986638000;2.0
delegado 12;1774934101;6.1
delegado 13;1611743200;7.2
delegado 14;1701440799;5.7
delegado 15;1843816801;2.7
delegado 16;1851939799;5.8
delegado 17;1972647900;2.6
delegado 18;1981019500;6.3
delegado 19;1973423200;3.2
delegado 20;1776509000;3.9
delegado 21;1807707100;1.3
delegado 22;1767580401;5.7
delegado 23;1617442400;19.9
delegado 24;1696664000;10.1
delegado 25;1776150800;3.3
delegado 26;1742382200;4.9
delegado 27;1858003600;1.7
delegado 28;1779291899;3.3
delegado 29;2069146400;3.7
delegado 30;1899335101;7.0
delegado 31;1807835499;5.5
delegado 32;1590685500;13.7
delegado 33;1709528600;4.9
delegado 34;2011848000;8.4
delegado 35;1928997000;4.2
delegado 36;1780901401;1.7
delegado 37;1758771300;6.7
delegado 38;1640968300;2.7
delegado 39;1824094801;4.0
delegado 40;2153598799;2.8
delegado 41;2066589200;9.2
delegado 42;1866066199;3.4
delegado 43;1633701399;6.6
delegado 44;1586413901;0.9
delegado 45;1594187601;4.0
delegado 46;1584853699;3.2
delegado 47;1605901700;4.8
delegado 48;1614428100;2.7
delegado 49;1673836100;6.2
delegado 50;1645361000;3.0
delegado 51;1578662501;4.7
delegado 52;1583152599;7.5
delegado 53;2168482400;3.5
delegado 54;2034500001;4.7
delegado 55;2030382901;2.6
delegado 56;2026690300;2.7
delegado 57;1779688199;4.2
delegado 58;1702053800;6.9
delegado 59;1749071000;4.3
delegado 60;1869072201;3.8
delegado 61;1957448700;3.1
delegado 62;2156076800;3.2
delegado 63;2038078099;4.0
delegado 64;2099922100;0.9
delegado 65;2037378700;7.3
delegado 66;1922502100;3.9
delegado 67;1987777801;9.3
delegado 68;1983228400;2.0
delegado 69;1984975600;6.0
delegado 70;1987751199;3.4
delegado 71;1852829500;6.4
delegado 72;1690794700;1.2
delegado 73;2325912599;3.6
delegado 74;2292078100;2.6
delegado 75;2033792400;4.1
delegado 76;1988175300;2.8
delegado 77;1909770400;4.6
delegado 78;1644603201;5.0
delegado 79;1672567400;8.3
delegado 80;1827678100;7.4
delegado 81;1794575999;4.7
delegado 82;1706624101;3.9
delegado 83;2027692800;6.2
delegado 84;1945021501;8.4
delegado 85;1811308701;3.3
delegado 86;1822831600;5.4
delegado 87;1971833700;3.2
delegado 88;2028564000;4.3
delegado 89;1973026800;5.1
delegado 90;1847480400;2.4
delegado 91;2187499700;2.9
delegado 92;2060153000;4.1
delegado 93;1805262800;4.3
delegado 94;1792571799;8.8
delegado 95;1944613600;3.8
delegado 96;1913224300;6.0
delegado 97;1981000200;3.9
delegado 98;1830571400;7.9
delegado 99;1639829800;6.5
delegado 100;1734774900;2.5
delegado 101;1785800099;8.2
delegado 102;1672134299;3.1
delegado 103;2255710000;3.6
delegado 104;2257532200;3.9
delegado 105;1919034300;4.0
delegado 106;1878449499;6.3
delegado 107;1844702301;2.1
delegado 108;1735353100;7.4
delegado 109;1647372399;4.8
delegado 110;1915461100;5.4
delegado 111;1874459101;2.9
delegado 112;1658015399;4.4
delegado 113;1719892300;5.3
delegado 114;1716849899;5.0
delegado 115;1675611001;3.9
delegado 116;1806267799;4.9
delegado 117;2168034200;3.5
delegado 118;2148565100;8.5
delegado 119;2175944900;4.7
delegado 120;2079094800;2.5
delegado 121;1998456600;4.6
delegado 122;1982191001;6.2
delegado 123;1793504499;4.5
delegado 124;1818148900;2.1
delegado 125;2008499399;3.9
delegado 126;2138895600;5.6
delegado 127;1869668700;4.2
delegado 128;1871186801;6.7
delegado 129;1683970899;3.7
delegado 130;1893343700;5.3
delegado 131;2050225300;4.3
delegado 132;1768744200;0.8
delegado 133;1710532599;5.9
delegado 134;1755151700;7.0
delegado 135;1646654901;6.8
delegado 136;1760891501;7.8
delegado 137;2067013999;4.3
delegado 138;2067183600;9.2
delegado 139;2139026000;3.7
delegado 140;2151167200;11.7
delegado 141;1957148500;3.2
delegado 142;1775232700;9.6
delegado 143;1670911500;9.8
delegado 144;1740861600;4.1
delegado 145;1810188199;4.8
delegado 146;2092918401;2.2
delegado 147;2048928000;4.7
delegado 148;1907106200;6.4
delegado 149;1768472000;4.4
delegado 150;1648288700;6.8
delegado 151;1702853900;4.5
delegado 152;1776713301;13.8
delegado 153;2056876900;6.7
delegado 154;1941840400;6.5
delegado 155;1946942800;4.3
delegado 156;1945506101;4.9
delegado 157;1859162901;3.2
delegado 158;1850463500;7.8
delegado 159;1873133700;3.6
delegado 160;1945875201;8.1
delegado 161;1976764399;4.0
delegado 162;2002935001;6.4
