
delegado 0;5331778000;0.0
delegado 1;2316084400;5.1
delegado 2;1449612500;4.0
delegado 3;1595894500;5.0
delegado 4;1425969300;4.4
delegado 5;1433670000;1.9
delegado 6;1427710100;5.0
delegado 7;1447583200;7.0
delegado 8;1413179600;6.6
delegado 9;1441295800;6.3
delegado 10;1441661600;4.9
delegado 11;1470483900;6.0
delegado 12;1597771500;6.7
delegado 13;1440388200;3.9
delegado 14;1440151600;3.1
delegado 15;1438667800;4.1
delegado 16;1517627300;4.7
delegado 17;1418759300;4.8
delegado 18;1606963200;6.8
delegado 19;1413506100;4.2
delegado 20;1435100800;5.5
delegado 21;1417151000;5.8
delegado 22;1438286900;8.4
delegado 23;1417062800;5.6
delegado 24;1649143800;4.7
delegado 25;1427486000;4.8
delegado 26;1420039500;4.5
delegado 27;1454849200;5.5
delegado 28;1418968400;5.6
delegado 29;1427830900;7.9
delegado 30;1438985900;5.3
delegado 31;1424543200;8.8
delegado 32;1609594100;2.4
delegado 33;1447182500;3.6
delegado 34;1430963700;5.2
delegado 35;1427412900;7.0
delegado 36;1436106900;4.8
delegado 37;1428198300;10.4
delegado 38;1426156900;7.4
delegado 39;1447147900;7.7
delegado 40;1819514700;4.4
delegado 41;1672065900;6.4
delegado 42;1746894300;5.1
delegado 43;1621818100;3.3
delegado 44;1564505200;4.2
delegado 45;1586500800;3.6
delegado 46;1430842900;8.4
delegado 47;1858285300;3.1
delegado 48;1418740600;4.9
delegado 49;1428097000;3.2
delegado 50;1611723300;4.1
delegado 51;1440645200;10.0
delegado 52;1448532800;3.1
delegado 53;1418571300;6.9
delegado 54;1472581200;5.3
delegado 55;1629599800;4.0
delegado 56;1422569800;5.1
delegado 57;1414908600;3.1
delegado 58;1422742400;4.0
delegado 59;1585727100;5.0
delegado 60;1421724500;2.1
delegado 61;1651884500;4.5
delegado 62;1549371900;5.0
delegado 63;1452903000;5.3
delegado 64;1420791200;3.8
delegado 65;1424888700;8.1
delegado 66;1448661200;4.2
delegado 67;1592844900;4.3
delegado 68;1427047400;3.3
delegado 69;1425745800;5.2
delegado 70;1829346100;3.8
delegado 71;1431988500;2.8
delegado 72;1434419700;7.7
delegado 73;1833572400;3.4
delegado 74;1481683600;2.9
delegado 75;1420604000;4.0
delegado 76;1427869700;4.4
delegado 77;1420665500;3.9
delegado 78;1602051200;6.5
delegado 79;1444549300;7.6
